mi, mis|my
tu, tus|your (sing.)
su, sus|Your, his, her, their
nuestro/a, nuestros/as|our
vuestro/a, vuestros/as|your (pl.)

esto/e/a|this
estos/as|these
eso/e/a|that
esos/as|those
aquel, aquello/a|that (over there)
aquellos/as|those (over there)

Alemania|Germany
Irlanda|Ireland
Arabia Saudita|Saudi Arabia
Israel|Israel
la Argentina|Argentina
Italia|Italy
Austria|Austria
Jamaica|Jamaica
Bélgica|Belgium
Japón|Japan
Bolivia|Bolivia
Marruecos|Morocco
el Brasil|Brazil
México|Mexico
el Canadá|Canada
Noruega|Norway
China|China
Corea|Korea
el Panamá|Panama
el Paraguay|Paraguay
Cuba|Cuba
el Perú|Peru
Dinamarca|Denmark
Polonia|Poland
Portugal|Portugal
Egipto|Egypt
Escocia|Scotland
el Ecuador|Ecuador
España|Spain
los Estados Unidos|United States
Rusia|Russia
Finlandia|Finland
Francia|France
Grecia|Greece
Suecia|Sweden
la Suiza|Switzerland
Tailandia|Thailand
Holanda|Netherlands
Taiwán|Taiwan
Turquía|Turkey
Hungría|Hungary
el Uruguay|Uruguay
la India|India
Inglaterra|England
Vietnam|Vietnam
Irak/Iraq|Iraq
Irán|Iran

alemán|German
irlandés|Irish
saudí/saudita|Saudi
israelí|Israeli
argentino|Argentine
italiano|Italian
austriaco|Austrian
jamaiquino|Jamaican
belga|Belgian
japonés|Japanese
boliviano|Bolivian
marroquí|Moroccan
brasileño|Brazilian
mexicano|Mexican
canadiense|Canadian
noruego|Norwegian
chino|Chinese
coreano|Korean
panameño|Panamanian
paraguayo|Paraguayan
cubano|Cuban
peruano|Peruvian
danés|Danish
polaco|Polish

portugués|Portuguese
egipcio|Egyptian
escocés|Scottish
español|Spanish
norteamericano/estadounidense|American
ruso|Russian
finlandés|Finnish
francés|French
griego|Greek
sueco|Swedish
suizo|Swiss
tailandés|Thai
holandés|Dutch
taiwanés|Taiwanese
turco|Turkish
húngaro|Hungarian
uruguayo|Uruguayan
hindú|Indian
inglés|English
vietnamita|Vietnamese
iraquí|Iraqi
iraní|Iranian

bueno|good
malo|bad
mucho|a lot of, much, many
poco|a little bit, a few, not much, not many
bastante, suficiente|enough
ambos|both
cada|each
varios|several
alguno|some
otro|other, another
todo|all, every
próximo|next
único|only
último|last, final
antiguo|former(precede), ancient(follow)
cierto|certain(precede), sure(follow)
grande|great(precede), big(follow)
pobre|unfortunate(precede), poor(follow)
mismo|same(precede), (it/her/him etc.)self(follow)
viejo|longtime(precede), old(follow)

más + adjetivo + que|more + adjective + than
menos + adjetivo + que|less + adjective + than
tan + adjetivo + como|as + adjective + as
el (la) más + adjetivo + de|(the) most + adjective + of
el (la) menos + adjetivo + de|(the) least + adjective + of
bueno, mejor|good, better
malo, peor|bad, worse
joven, menor|young, younger (ppl)
viejo, mayor|old, older (ppl)
más + nombre + que|more + noun + than
menos + nombre + que|less + noun + than
tanto + nombre + como|as much/many + noun + as
más que|more than (verbs)
menos que|less than (verbs)
tanto como|as much as (verbs)

claro|clear
rápido|rapid
lento|slow
franco|frank
honesto|honest
íntimo|intimate
frecuente|frequent
sincero|sincere
loco|crazy
total|total
verdadero|true
inocente|innocent
cariñoso|affectionate
completo|complete
normal|normal

mucho|a lot
más|more
tanto|so much
menos|less
poco|a little bit
demasiado|too much
casi|almost
bien|well
mejor|better
mal|badly
peor|worse
a la derecha|to the right
a la izquierda|to the left
derecho, recto|straight ahead

a veces|sometimes
cerca|nearby
ahora|now
en lo alto|up, up there
ahora mismo|right now
lejos|far off
siempre|always
adelante|in front
todavía|still, yet; no, not yet
al fondo|in back, at the bottom
ya|already
ya no|no longer
atrás|in back
temprano|early
arriba|up, upstairs
tarde|late
abajo|down, downstairs
aquí, allí|here, there
adentro|inside
afuera|outside

apagar|to turn off
imaginar|to imagine
al entrar|upon entering
sonreír|to smile
el ambiente|the atmosphere
la brisa|the breeze
el anfitrión/la anfitriona|the host/the hostess
la conocida|the acquaintance
el entremés|the appetizer
el bocadillo|the snack
el invitado|the guest
la botella|the bottle
la letra|the words (of a song)
la pareja|the couple
el vestuario|the closet, the wardrobe
la soda, la gaseosa|the soda
la vela|the candle
