abrazar|to embrace, to hug
acompañar|to accompany
amar|to love
ayudar|to help
besar|to kiss
conocer|to know (a person or place)
cuidar|to take care of (opiekować się)
dejar|to leave sth behind (zostawić)
extrañar|to miss (a person or a place)
gritar|to yell at, to scream at
hallar|to find (synonim encontrar)
invitar|to invite
matar|to kill
querer + a + persona|to love a person
recoger|to gather, to pick up
visitar|to visit

bajarse de|to get off 
saltar|to jump
sellar|to stamp
el pasaboca|the snack
la bienvenida|the welcome 
el conductor|the driver 
el dueño|the owner 
el registro|the register
la fila|the line 
la sonrisa|the smile
la lágrima|the tear 
la tarifa|the fare
el viajero|the traveler
