el gimnasio|the gym
el elefante|the elephant
el ejercicio|the exercise
el cine|the cinema

aceptar|to accept
cruzar|to cross
apagar|to turn off, (zgasić)
dibujar|to draw
arreglar|to arrange, to fix
disfrutar|to enjoy
cambiar|to change, to exchange
doblar|to turn, to fold, to bend
celebrar|to celebrate
explicar|to explain
firmar|to sign (podpisać)
pintar|to paint
gozar|to enjoy
preparar|to prepare
llorar|to cry
repasar|to review, to check
manejar|to handle, to operate
terminar|to finish, to end
marcar|to dial, to mark
tirar|to throw, to throw away
necesitar|to need
usar|to use, to wear
parar|to stop, to block (ball)

tener _ años|to be _ years old
tener calor|to be hot
tener celos|to be jealous
tener cuidado|to be careful
tener la culpa|to be at fault
tener dolor de|to have a (head)ache, (stomach)ache, etc.
tener envidia|to be envious
tener éxito|to be successful, to have success
tener frío|to be cold
tener ganas de|to want, to desire
tener hambre|to be hungry
tener la palabra|to have the floor
tener lugar|to take place
tener miedo de|to be afraid of
tener prisa|to be in a hurry
tener que ver con|to have to do with
tener rabia|to be in a rage, to be very angry
tener razón|to be right
tener sed|to be thirsty
tener sueño|to be sleepy
tener suerte|to be lucky, to have luck
tener vergüenza|to be ashamed

acabar de + infinitive|to have just (done something)
dejar de + infinitive|to stop (doing something)
tener que + infinitive|to have to (do something)
tratar de + infinitive|to try to (do sth), to be about (sth)
volver a + infinitive|to do (something) again
gozar de + subject|to enjoy (something)
aprender a + infinitive|to learn to (do something)

la articulación|the joint(staw)
la mejilla|the cheek
la barba|the beard
la muñeca|the wrist
la barbilla|the chin
el muslo|the thigh
la boca|the mouth
las nalgas|the buttocks
el brazo|the arm
la nariz|the nose
el cabello|the hair
la cabeza|the head
la cadera|the hip
el ojo|the eye
la cara|the face
la oreja|the ear
la ceja|the eyebrow
el párpado|the eyelid
la cintura|the waist
el pecho|the chest
el codo|the elbow
el pelo|the hair
la columna|the spine
la pestaña|the eyelash

el cuello|the neck
el pie|the foot
el dedo|the finger
la piel|the skin
el dedo del pie|the toe
la pierna|the leg
el diente|the tooth
el pulgar|the thumb
las encías|the gums
la quijada|the jaw
la espalda|the back
la rodilla|the knee
la frente|the forehead
los senos|the breasts
la garganta|the throat
el talón|the heel
el hombro|the shoulder
el tobillo|the ankle
la lengua|the tongue
la uña|the nail
la mano|the hand
el cuerpo|the body

el hueso|the bone
el músculo|the muscle
el cerebro|the brain
el pulmón|the lung
el corazón|the heart
el riñón|the kidney
las costillas|the ribs
la sangre|the blood
el estómago|the stomach
el tendón|the tendon(ścięgno)
el hígado|the liver
las venas|the veins
