lavarse|to wash oneself
bañarse|to bathe oneself
dedicarse|to dedicate oneself
defenderse|to defend oneself
divertirse|to amuse oneself, to have a good time
expresarse|to express oneself
llamarse|to call oneself
preguntarse|to ask oneself, to wonder
acostarse|to go to bed
despertarse|to wake up, to wake oneself
ducharse|to shower, to take a shower
dormirse|to fall asleep
enfermarse|to get sick
levantarse|to get up, to raise oneself
sentarse|to sit down, to seat oneself
vestirse|to get dressed

cepillarse|to brush (one’s teeth, one’s hair)
afeitarse|to shave
maquillarse|to put makeup on
peinarse|to comb (one's hair)
pintarse|to put paint on (malować się, w tym makijaż/paznokcie)
quitarse|to take off (clothing)
ponerse|to put on (clothing)

alegrarse (de)|to become happy, to be glad
animarse|to cheer up
asustarse|to get frightened/scared
calmarse, tranquilizarse|to calm down
enfadarse, enojarse (con)|to get angry
preocuparse (de)|to worry

quedarse|to remain
mudarse|to move (przeprowadzić/przenieść się)
pararse|to stand up
caerse|to fall down
irse|to go away, to leave quickly
moverse|to move

ponerse + adjective|to become (physical, emotional changes)
volverse + adjective|expresses sudden, involuntary change
hacerse, llegar a ser|to become (profession)

arreglarse|to get ready to go out, to fix oneself up
aprovecharse (de)|to take advantage of
atreverse (a)|to dare to
burlarse (de)|to make fun of
callarse|to become quiet
demorarse|to delay
desayunarse|to have breakfast
enamorarse (de)|to fall in love with
equivocarse|to make a mistake
fiarse (en)|to trust, to have trust in

fijarse (en)|to notice
lastimarse|to hurt oneself
llevarse (bien) con|to get along (well) with
mejorarse|to get better
meterse (en)|to get involved in, to meddle
portarse (bien/mal)|to behave oneself (well/badly)
quejarse (de)|to complain about
quemarse|to burn oneself, to get burned
reunirse (con)|to meet with (planowanie spotkanie)

acordarse (de)|to remember
darse cuenta (de)|to realize
encontrarse (con)|to meet (wpaść na siebie, przypadkowe)
morirse|to die
parecerse (a)|to resemble, to look like
reírse|to laugh
sentirse (emotion)|to feel (well/ill/emotion/condition)

ayudarse|to help each other
conocerse|to know each other
entenderse|to understand each other
escribirse|to write to each other
hablarse|to speak to each other
quererse|to love each other
verse|to see each other

a lo lejos|far away
más allá de mi ventana|outside my window
sobre|todo above all
apresurarse|to rush
charlar|to chat 
llenarse|to fill up
conversar|to converse
dejar|to let
la nata|the cream
el pastel|the pastry
acogedor|cozy 
hablador(-a)|talkative
animado|energetic, excited 
ocupado|busy
complacido|satisfied
sentado|seated
